,Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Date of Report,Time of Report,Occurrence Year,Age Group
11112,11113,,,Mumbai,136,TRAFFIC VIOLATION,12,M,Poison,Traffic Fatality,5,1,20-04-2021 11:00,,,,Child
11113,11114,,,Agra,586,ARSON,26,F,Knife,Fire Accident,14,0,Ongoing,,,,Young Adult
11114,11115,,,Delhi,212,IDENTITY THEFT,72,F,None,Violent Crime,1,1,30-06-2021 14:00,,,,Senior
11115,11116,,,Delhi,380,TRAFFIC VIOLATION,62,F,Firearm,Traffic Fatality,7,1,21-04-2021 19:00,,,,Senior
11116,11117,,,Chennai,146,TRAFFIC VIOLATION,38,M,Explosives,Traffic Fatality,9,0,Ongoing,,,,Adult
11117,11118,,,Ghaziabad,492,IDENTITY THEFT,64,M,Poison,Violent Crime,15,1,22-04-2021 07:00,,,,Senior
11118,11119,,,Hyderabad,386,VANDALISM,28,F,Explosives,Other Crime,14,0,Ongoing,,,,Young Adult
11119,11120,,,Agra,175,PUBLIC INTOXICATION,20,M,Knife,Other Crime,15,0,Ongoing,,,,Young Adult
11120,11121,,,Jaipur,324,FRAUD,51,F,Poison,Other Crime,9,1,23-06-2021 19:00,,,,Adult
11121,11122,,,Jaipur,208,CYBERCRIME,18,M,Other,Other Crime,17,0,Ongoing,,,,Teen
11122,11123,,,Chennai,107,ARSON,46,M,Firearm,Fire Accident,5,1,25-05-2021 13:00,,,,Adult
11123,11124,,,Mumbai,218,ARSON,29,F,Other,Fire Accident,18,0,Ongoing,,,,Young Adult
11124,11125,,,Mumbai,546,FRAUD,12,M,Knife,Other Crime,9,1,14-05-2021 06:00,,,,Child
11125,11126,,,Mumbai,545,IDENTITY THEFT,58,M,None,Violent Crime,5,1,17-06-2021 10:00,,,,Adult
11126,11127,,,Kanpur,287,SEXUAL ASSAULT,65,F,Explosives,Violent Crime,10,0,Ongoing,,,,Senior
11127,11128,,,Kolkata,564,COUNTERFEITING,57,M,Firearm,Other Crime,18,0,Ongoing,,,,Adult
11128,11129,,,Mumbai,501,BURGLARY,28,F,Other,Other Crime,14,0,Ongoing,,,,Young Adult
11129,11130,,,Mumbai,473,VANDALISM,37,F,Poison,Other Crime,1,1,19-06-2021 05:00,,,,Adult
11130,11131,,,Ludhiana,221,FRAUD,33,F,Poison,Other Crime,14,0,Ongoing,,,,Young Adult
11131,11132,,,Delhi,272,ASSAULT,44,M,Explosives,Violent Crime,14,1,22-04-2021 13:00,,,,Adult
11132,11133,,,Mumbai,390,TRAFFIC VIOLATION,61,F,Blunt Object,Traffic Fatality,9,1,17-04-2021 10:00,,,,Senior
11133,11134,,,Kanpur,481,FRAUD,21,M,Knife,Other Crime,16,0,Ongoing,,,,Young Adult
11134,11135,,,Agra,109,SHOPLIFTING,33,M,Blunt Object,Other Crime,13,1,07-05-2021 02:00,,,,Young Adult
11135,11136,,,Srinagar,301,SEXUAL ASSAULT,76,F,Poison,Violent Crime,6,1,25-07-2022 13:00,,,,Senior
11136,11137,,,Chennai,213,CYBERCRIME,30,M,Poison,Other Crime,17,1,05-07-2021 19:00,,,,Young Adult
11137,11138,,,Agra,208,ASSAULT,51,F,None,Violent Crime,14,1,06-05-2021 19:00,,,,Adult
11138,11139,,,Mumbai,531,IDENTITY THEFT,35,M,Poison,Violent Crime,17,0,Ongoing,,,,Young Adult
11139,11140,,,Mumbai,463,BURGLARY,79,F,Explosives,Other Crime,6,0,Ongoing,,,,Senior
11140,11141,,,Hyderabad,195,IDENTITY THEFT,13,F,Explosives,Violent Crime,16,0,Ongoing,,,,Teen
11141,11142,,,Meerut,449,BURGLARY,20,M,Other,Other Crime,4,0,Ongoing,,,,Young Adult
11142,11143,,,Pune,414,VEHICLE - STOLEN,63,M,None,Violent Crime,11,0,Ongoing,,,,Senior
11143,11144,,,Patna,392,SHOPLIFTING,63,F,Other,Other Crime,17,1,03-05-2021 03:00,,,,Senior
11144,11145,,,Delhi,501,KIDNAPPING,11,F,Poison,Other Crime,1,0,Ongoing,,,,Child
11145,11146,,,Nagpur,536,FIREARM OFFENSE,43,F,Other,Fire Accident,8,0,Ongoing,,,,Adult
11146,11147,,,Pune,519,FRAUD,20,M,Other,Other Crime,7,0,Ongoing,,,,Young Adult
11147,11148,,,Chennai,164,DOMESTIC VIOLENCE,14,M,Other,Violent Crime,10,1,27-04-2021 16:00,,,,Teen
11148,11149,,,Chennai,266,TRAFFIC VIOLATION,39,F,Knife,Traffic Fatality,10,1,09-05-2021 13:00,,,,Adult
11149,11150,,,Pune,576,HOMICIDE,27,F,None,Other Crime,8,1,07-09-2022 14:00,,,,Young Adult
11150,11151,,,Kanpur,417,SHOPLIFTING,10,F,Explosives,Other Crime,6,0,Ongoing,,,,Child
11151,11152,,,Kanpur,247,VANDALISM,59,F,Poison,Other Crime,13,0,Ongoing,,,,Adult
11152,11153,,,Agra,488,TRAFFIC VIOLATION,64,F,Firearm,Traffic Fatality,19,0,Ongoing,,,,Senior
11153,11154,,,Ahmedabad,197,DRUG OFFENSE,79,M,Blunt Object,Other Crime,12,0,Ongoing,,,,Senior
11154,11155,,,Bangalore,500,ASSAULT,73,F,None,Violent Crime,3,1,22-06-2021 12:00,,,,Senior
11155,11156,,,Bhopal,316,ARSON,24,F,Firearm,Fire Accident,6,0,Ongoing,,,,Young Adult
11156,11157,,,Kolkata,290,PUBLIC INTOXICATION,64,M,Blunt Object,Other Crime,9,1,23-04-2021 20:00,,,,Senior
11157,11158,,,Bangalore,105,VEHICLE - STOLEN,71,F,Poison,Violent Crime,1,1,21-06-2021 23:00,,,,Senior
11158,11159,,,Delhi,383,HOMICIDE,58,F,Poison,Other Crime,10,1,10-01-2022 16:00,,,,Adult
11159,11160,,,Pune,557,DOMESTIC VIOLENCE,47,F,Explosives,Violent Crime,9,1,20-04-2021 17:00,,,,Adult
11160,11161,,,Delhi,513,SEXUAL ASSAULT,32,F,Knife,Violent Crime,14,0,Ongoing,,,,Young Adult
11161,11162,,,Mumbai,508,FRAUD,13,F,Blunt Object,Other Crime,15,1,15-05-2021 22:00,,,,Teen
11162,11163,,,Pune,181,VEHICLE - STOLEN,26,F,Knife,Violent Crime,2,0,Ongoing,,,,Young Adult
11163,11164,,,Delhi,560,ASSAULT,18,M,Blunt Object,Violent Crime,3,0,Ongoing,,,,Teen
11164,11165,,,Bhopal,170,IDENTITY THEFT,72,F,Poison,Violent Crime,3,0,Ongoing,,,,Senior
11165,11166,,,Kolkata,436,EXTORTION,47,F,Knife,Other Crime,1,1,03-06-2021 05:00,,,,Adult
11166,11167,,,Jaipur,398,FRAUD,17,F,Blunt Object,Other Crime,8,1,13-05-2021 09:00,,,,Teen
11167,11168,,,Bangalore,389,ASSAULT,69,F,Poison,Violent Crime,6,1,01-06-2021 09:00,,,,Senior
11168,11169,,,Visakhapatnam,572,TRAFFIC VIOLATION,61,F,Knife,Traffic Fatality,14,1,04-05-2021 07:00,,,,Senior
11169,11170,,,Lucknow,117,SHOPLIFTING,70,F,Blunt Object,Other Crime,11,1,09-05-2021 08:00,,,,Senior
11170,11171,,,Kolkata,234,IDENTITY THEFT,14,F,None,Violent Crime,15,0,Ongoing,,,,Teen
11171,11172,,,Pune,382,VANDALISM,40,F,Explosives,Other Crime,15,1,18-05-2021 12:00,,,,Adult
11172,11173,,,Ahmedabad,390,VANDALISM,68,M,Other,Other Crime,4,1,09-05-2021 17:00,,,,Senior
11173,11174,,,Surat,484,SHOPLIFTING,71,F,Blunt Object,Other Crime,13,0,Ongoing,,,,Senior
11174,11175,,,Bangalore,393,VEHICLE - STOLEN,76,F,Firearm,Violent Crime,9,0,Ongoing,,,,Senior
11175,11176,,,Surat,570,ASSAULT,37,M,Firearm,Violent Crime,16,1,14-05-2021 21:00,,,,Adult
11176,11177,,,Hyderabad,407,IDENTITY THEFT,18,F,Other,Violent Crime,2,0,Ongoing,,,,Teen
11177,11178,,,Hyderabad,549,VEHICLE - STOLEN,61,F,Firearm,Violent Crime,19,0,Ongoing,,,,Senior
11178,11179,,,Thane,291,ILLEGAL POSSESSION,79,M,Poison,Other Crime,3,1,30-06-2021 16:00,,,,Senior
11179,11180,,,Delhi,333,TRAFFIC VIOLATION,18,F,Blunt Object,Traffic Fatality,16,1,14-04-2021 15:00,,,,Teen
11180,11181,,,Jaipur,434,HOMICIDE,54,F,Other,Other Crime,4,1,13-10-2021 07:00,,,,Adult
11181,11182,,,Agra,418,ASSAULT,32,F,None,Violent Crime,9,0,Ongoing,,,,Young Adult
11182,11183,,,Chennai,579,ASSAULT,37,M,Knife,Violent Crime,16,1,03-07-2021 20:00,,,,Adult
11183,11184,,,Lucknow,533,ROBBERY,24,M,Explosives,Violent Crime,11,1,28-08-2021 14:00,,,,Young Adult
11184,11185,,,Bhopal,141,SHOPLIFTING,76,F,None,Other Crime,19,1,16-05-2021 04:00,,,,Senior
11185,11186,,,Mumbai,253,ASSAULT,28,F,Poison,Violent Crime,15,1,25-06-2021 14:00,,,,Young Adult
11186,11187,,,Visakhapatnam,208,FRAUD,35,F,Other,Other Crime,10,1,29-04-2021 13:00,,,,Young Adult
11187,11188,,,Hyderabad,193,SEXUAL ASSAULT,19,F,Firearm,Violent Crime,1,0,Ongoing,,,,Teen
11188,11189,,,Delhi,108,SHOPLIFTING,26,F,Other,Other Crime,2,1,22-04-2021 10:00,,,,Young Adult
11189,11190,,,Chennai,131,DRUG OFFENSE,68,F,Knife,Other Crime,7,1,20-06-2021 09:00,,,,Senior
11190,11191,,,Pune,589,ROBBERY,14,F,Poison,Violent Crime,14,1,11-09-2021 20:00,,,,Teen
11191,11192,,,Mumbai,342,BURGLARY,77,M,None,Other Crime,14,0,Ongoing,,,,Senior
11192,11193,,,Indore,400,VEHICLE - STOLEN,39,F,Knife,Violent Crime,11,0,Ongoing,,,,Adult
11193,11194,,,Bangalore,460,ASSAULT,25,F,Explosives,Violent Crime,13,0,Ongoing,,,,Young Adult
11194,11195,,,Mumbai,440,CYBERCRIME,12,F,Other,Other Crime,19,0,Ongoing,,,,Child
11195,11196,,,Delhi,544,KIDNAPPING,71,F,Blunt Object,Other Crime,15,1,15-05-2021 04:00,,,,Senior
11196,11197,,,Kanpur,388,COUNTERFEITING,53,F,Other,Other Crime,10,0,Ongoing,,,,Adult
11197,11198,,,Hyderabad,562,CYBERCRIME,50,M,Blunt Object,Other Crime,4,0,Ongoing,,,,Adult
11198,11199,,,Kanpur,331,VEHICLE - STOLEN,37,F,Firearm,Violent Crime,14,1,02-06-2021 01:00,,,,Adult
11199,11200,,,Visakhapatnam,550,SHOPLIFTING,65,F,Firearm,Other Crime,1,0,Ongoing,,,,Senior
11200,11201,,,Kanpur,341,FIREARM OFFENSE,65,F,Other,Fire Accident,16,1,14-05-2021 06:00,,,,Senior
11201,11202,,,Lucknow,177,BURGLARY,60,F,Poison,Other Crime,5,1,04-06-2021 09:00,,,,Adult
11202,11203,,,Nagpur,179,SHOPLIFTING,55,F,Explosives,Other Crime,2,1,27-06-2021 18:00,,,,Adult
11203,11204,,,Varanasi,287,ROBBERY,14,M,Knife,Violent Crime,7,0,Ongoing,,,,Teen
11204,11205,,,Delhi,386,COUNTERFEITING,48,F,Blunt Object,Other Crime,7,0,Ongoing,,,,Adult
11205,11206,,,Chennai,390,DRUG OFFENSE,41,M,Blunt Object,Other Crime,18,1,15-05-2021 21:00,,,,Adult
11206,11207,,,Delhi,507,VANDALISM,65,M,Explosives,Other Crime,6,1,23-06-2021 21:00,,,,Senior
11207,11208,,,Agra,169,FRAUD,23,F,Poison,Other Crime,14,0,Ongoing,,,,Young Adult
11208,11209,,,Indore,171,VEHICLE - STOLEN,19,F,None,Violent Crime,14,0,Ongoing,,,,Teen
11209,11210,,,Indore,563,IDENTITY THEFT,53,F,Blunt Object,Violent Crime,18,0,Ongoing,,,,Adult
11210,11211,,,Indore,550,ILLEGAL POSSESSION,76,F,None,Other Crime,9,0,Ongoing,,,,Senior
11211,11212,,,Delhi,424,SHOPLIFTING,77,M,Poison,Other Crime,18,0,Ongoing,,,,Senior
11212,11213,,,Chennai,401,EXTORTION,45,M,Poison,Other Crime,13,0,Ongoing,,,,Adult
11213,11214,,,Delhi,246,BURGLARY,67,F,Explosives,Other Crime,15,0,Ongoing,,,,Senior
11214,11215,,,Mumbai,128,ILLEGAL POSSESSION,36,F,Knife,Other Crime,10,0,Ongoing,,,,Adult
11215,11216,,,Vasai,345,SHOPLIFTING,39,M,Knife,Other Crime,7,1,08-06-2021 18:00,,,,Adult
11216,11217,,,Delhi,499,BURGLARY,61,F,None,Other Crime,6,1,16-07-2021 09:00,,,,Senior
11217,11218,,,Chennai,297,SHOPLIFTING,13,F,Blunt Object,Other Crime,17,0,Ongoing,,,,Teen
11218,11219,,,Chennai,341,DRUG OFFENSE,10,F,Explosives,Other Crime,4,0,Ongoing,,,,Child
11219,11220,,,Srinagar,461,VEHICLE - STOLEN,15,F,None,Violent Crime,1,1,27-06-2021 00:00,,,,Teen
11220,11221,,,Lucknow,270,PUBLIC INTOXICATION,45,F,Firearm,Other Crime,1,0,Ongoing,,,,Adult
11221,11222,,,Kalyan,500,EXTORTION,40,F,Poison,Other Crime,3,1,27-06-2021 21:00,,,,Adult
11222,11223,,,Vasai,408,BURGLARY,76,F,None,Other Crime,9,1,29-08-2021 20:00,,,,Senior
11223,11224,,,Nagpur,124,VEHICLE - STOLEN,37,M,Poison,Violent Crime,11,0,Ongoing,,,,Adult
11224,11225,,,Jaipur,220,BURGLARY,72,M,Explosives,Other Crime,7,0,Ongoing,,,,Senior
11225,11226,,,Bangalore,564,BURGLARY,22,M,Blunt Object,Other Crime,2,1,20-08-2021 10:00,,,,Young Adult
11226,11227,,,Kolkata,412,CYBERCRIME,51,F,Other,Other Crime,4,0,Ongoing,,,,Adult
11227,11228,,,Pune,429,CYBERCRIME,59,F,Knife,Other Crime,18,0,Ongoing,,,,Adult
11228,11229,,,Rajkot,241,CYBERCRIME,28,M,Blunt Object,Other Crime,3,0,Ongoing,,,,Young Adult
11229,11230,,,Hyderabad,457,VANDALISM,34,F,Other,Other Crime,19,0,Ongoing,,,,Young Adult
11230,11231,,,Mumbai,575,EXTORTION,27,F,Knife,Other Crime,9,1,29-06-2021 05:00,,,,Young Adult
11231,11232,,,Delhi,174,CYBERCRIME,13,F,Explosives,Other Crime,3,1,27-06-2021 20:00,,,,Teen
11232,11233,,,Thane,172,FRAUD,26,M,Poison,Other Crime,18,0,Ongoing,,,,Young Adult
11233,11234,,,Indore,319,VEHICLE - STOLEN,65,F,Other,Violent Crime,8,1,08-05-2021 02:00,,,,Senior
11234,11235,,,Delhi,370,EXTORTION,58,F,None,Other Crime,6,0,Ongoing,,,,Adult
11235,11236,,,Bangalore,343,DOMESTIC VIOLENCE,41,F,None,Violent Crime,16,0,Ongoing,,,,Adult
11236,11237,,,Kolkata,336,TRAFFIC VIOLATION,34,F,Other,Traffic Fatality,8,0,Ongoing,,,,Young Adult
11237,11238,,,Chennai,162,ASSAULT,76,F,Poison,Violent Crime,6,1,26-05-2021 19:00,,,,Senior
11238,11239,,,Hyderabad,595,DRUG OFFENSE,58,F,Other,Other Crime,10,0,Ongoing,,,,Adult
11239,11240,,,Delhi,266,FRAUD,36,M,Other,Other Crime,5,0,Ongoing,,,,Adult
11240,11241,,,Patna,194,DRUG OFFENSE,69,F,Explosives,Other Crime,11,1,01-07-2021 12:00,,,,Senior
11241,11242,,,Ghaziabad,489,EXTORTION,77,M,Other,Other Crime,16,0,Ongoing,,,,Senior
11242,11243,,,Chennai,525,TRAFFIC VIOLATION,33,M,Firearm,Traffic Fatality,19,0,Ongoing,,,,Young Adult
11243,11244,,,Chennai,590,ARSON,37,F,Poison,Fire Accident,17,0,Ongoing,,,,Adult
11244,11245,,,Ahmedabad,179,PUBLIC INTOXICATION,46,F,Knife,Other Crime,12,1,05-05-2021 14:00,,,,Adult
11245,11246,,,Mumbai,528,SEXUAL ASSAULT,61,F,None,Violent Crime,5,1,16-07-2022 04:00,,,,Senior
11246,11247,,,Chennai,337,FRAUD,68,F,Explosives,Other Crime,17,0,Ongoing,,,,Senior
11247,11248,,,Lucknow,588,SHOPLIFTING,53,F,Firearm,Other Crime,5,1,31-05-2021 11:00,,,,Adult
11248,11249,,,Jaipur,251,ARSON,63,F,Explosives,Fire Accident,11,1,08-05-2021 02:00,,,,Senior
11249,11250,,,Surat,285,TRAFFIC VIOLATION,11,F,Knife,Traffic Fatality,3,0,Ongoing,,,,Child
11250,11251,,,Pune,483,BURGLARY,68,F,Firearm,Other Crime,5,0,Ongoing,,,,Senior
11251,11252,,,Bangalore,520,VANDALISM,58,F,Blunt Object,Other Crime,7,1,29-06-2021 10:00,,,,Adult
11252,11253,,,Srinagar,138,SEXUAL ASSAULT,63,M,None,Violent Crime,13,1,19-05-2022 15:00,,,,Senior
11253,11254,,,Mumbai,526,SEXUAL ASSAULT,23,M,Other,Violent Crime,3,0,Ongoing,,,,Young Adult
11254,11255,,,Pune,192,ROBBERY,13,F,Poison,Violent Crime,2,0,Ongoing,,,,Teen
11255,11256,,,Bangalore,250,IDENTITY THEFT,36,M,Poison,Violent Crime,12,0,Ongoing,,,,Adult
11256,11257,,,Pune,338,ASSAULT,67,M,Other,Violent Crime,6,0,Ongoing,,,,Senior
11257,11258,,,Kolkata,162,CYBERCRIME,73,F,Poison,Other Crime,10,1,26-05-2021 08:00,,,,Senior
11258,11259,,,Surat,575,HOMICIDE,48,M,Explosives,Other Crime,15,1,30-05-2022 07:00,,,,Adult
11259,11260,,,Bangalore,566,ARSON,40,F,Knife,Fire Accident,5,1,04-05-2021 09:00,,,,Adult
11260,11261,,,Hyderabad,571,ARSON,61,M,Poison,Fire Accident,11,0,Ongoing,,,,Senior
11261,11262,,,Meerut,334,ROBBERY,16,F,Explosives,Violent Crime,17,0,Ongoing,,,,Teen
11262,11263,,,Delhi,219,EXTORTION,21,M,Other,Other Crime,2,1,23-04-2021 08:00,,,,Young Adult
11263,11264,,,Chennai,461,BURGLARY,29,F,Blunt Object,Other Crime,15,0,Ongoing,,,,Young Adult
11264,11265,,,Delhi,188,ILLEGAL POSSESSION,71,M,Knife,Other Crime,18,0,Ongoing,,,,Senior
11265,11266,,,Pune,153,ROBBERY,78,F,None,Violent Crime,8,0,Ongoing,,,,Senior
11266,11267,,,Meerut,369,SEXUAL ASSAULT,20,F,None,Violent Crime,16,1,05-04-2023 11:00,,,,Young Adult
11267,11268,,,Bangalore,166,EXTORTION,67,M,Knife,Other Crime,12,0,Ongoing,,,,Senior
11268,11269,,,Hyderabad,223,DOMESTIC VIOLENCE,52,M,Poison,Violent Crime,9,1,25-06-2021 00:00,,,,Adult
11269,11270,,,Srinagar,227,ASSAULT,32,M,None,Violent Crime,5,0,Ongoing,,,,Young Adult
11270,11271,,,Pune,167,VANDALISM,32,M,Other,Other Crime,6,0,Ongoing,,,,Young Adult
11271,11272,,,Ludhiana,506,EXTORTION,36,M,Poison,Other Crime,3,1,13-07-2021 18:00,,,,Adult
11272,11273,,,Bangalore,285,ARSON,69,F,None,Fire Accident,18,0,Ongoing,,,,Senior
11273,11274,,,Mumbai,303,FIREARM OFFENSE,64,F,None,Fire Accident,1,1,24-04-2021 16:00,,,,Senior
11274,11275,,,Meerut,376,DRUG OFFENSE,23,M,None,Other Crime,1,0,Ongoing,,,,Young Adult
11275,11276,,,Kolkata,203,FRAUD,60,F,Poison,Other Crime,3,0,Ongoing,,,,Adult
11276,11277,,,Bangalore,592,VANDALISM,48,F,Poison,Other Crime,10,1,22-05-2021 16:00,,,,Adult
11277,11278,,,Ahmedabad,312,KIDNAPPING,27,F,Firearm,Other Crime,11,0,Ongoing,,,,Young Adult
11278,11279,,,Pune,567,ILLEGAL POSSESSION,58,F,Firearm,Other Crime,7,1,07-05-2021 20:00,,,,Adult
11279,11280,,,Kolkata,358,KIDNAPPING,30,F,Blunt Object,Other Crime,19,1,18-05-2021 19:00,,,,Young Adult
11280,11281,,,Kolkata,146,COUNTERFEITING,34,F,Blunt Object,Other Crime,15,1,16-05-2021 07:00,,,,Young Adult
11281,11282,,,Jaipur,231,EXTORTION,60,F,Explosives,Other Crime,18,0,Ongoing,,,,Adult
11282,11283,,,Hyderabad,107,VANDALISM,38,F,Explosives,Other Crime,5,0,Ongoing,,,,Adult
11283,11284,,,Bangalore,579,PUBLIC INTOXICATION,38,F,Other,Other Crime,10,1,19-04-2021 12:00,,,,Adult
11284,11285,,,Jaipur,558,DOMESTIC VIOLENCE,47,F,Poison,Violent Crime,9,1,03-06-2021 17:00,,,,Adult
11285,11286,,,Patna,201,ARSON,62,F,Other,Fire Accident,17,1,19-05-2021 18:00,,,,Senior
11286,11287,,,Mumbai,168,BURGLARY,15,M,Firearm,Other Crime,14,1,07-09-2021 16:00,,,,Teen
11287,11288,,,Bangalore,112,KIDNAPPING,69,F,Firearm,Other Crime,1,0,Ongoing,,,,Senior
11288,11289,,,Chennai,302,EXTORTION,62,F,Explosives,Other Crime,18,0,Ongoing,,,,Senior
11289,11290,,,Ludhiana,508,VANDALISM,56,F,Firearm,Other Crime,3,0,Ongoing,,,,Adult
11290,11291,,,Chennai,362,SHOPLIFTING,50,F,Blunt Object,Other Crime,13,1,07-07-2021 14:00,,,,Adult
11291,11292,,,Mumbai,356,FRAUD,10,M,Poison,Other Crime,14,1,04-07-2021 18:00,,,,Child
11292,11293,,,Chennai,326,IDENTITY THEFT,38,M,Explosives,Violent Crime,11,0,Ongoing,,,,Adult
11293,11294,,,Surat,441,EXTORTION,75,F,None,Other Crime,7,0,Ongoing,,,,Senior
11294,11295,,,Patna,102,COUNTERFEITING,70,M,Firearm,Other Crime,5,0,Ongoing,,,,Senior
11295,11296,,,Agra,402,FIREARM OFFENSE,57,F,Poison,Fire Accident,17,0,Ongoing,,,,Adult
11296,11297,,,Agra,590,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,1,0,Ongoing,,,,Senior
11297,11298,,,Kolkata,564,ASSAULT,58,M,Blunt Object,Violent Crime,17,0,Ongoing,,,,Adult
11298,11299,,,Bangalore,268,COUNTERFEITING,18,M,Blunt Object,Other Crime,10,1,23-04-2021 12:00,,,,Teen
11299,11300,,,Ahmedabad,217,CYBERCRIME,29,F,Explosives,Other Crime,19,1,20-06-2021 11:00,,,,Young Adult
11300,11301,,,Chennai,344,DRUG OFFENSE,30,M,Knife,Other Crime,16,0,Ongoing,,,,Young Adult
11301,11302,,,Agra,504,KIDNAPPING,58,F,Firearm,Other Crime,6,1,03-06-2021 14:00,,,,Adult
11302,11303,,,Delhi,400,ARSON,66,F,Firearm,Fire Accident,6,0,Ongoing,,,,Senior
11303,11304,,,Chennai,194,VEHICLE - STOLEN,35,F,Knife,Violent Crime,13,1,19-06-2021 23:00,,,,Young Adult
11304,11305,,,Delhi,560,COUNTERFEITING,34,M,None,Other Crime,14,1,27-04-2021 10:00,,,,Young Adult
11305,11306,,,Mumbai,538,KIDNAPPING,52,F,Explosives,Other Crime,16,0,Ongoing,,,,Adult
11306,11307,,,Kanpur,368,VEHICLE - STOLEN,76,M,None,Violent Crime,10,0,Ongoing,,,,Senior
11307,11308,,,Delhi,188,ILLEGAL POSSESSION,72,F,Other,Other Crime,9,0,Ongoing,,,,Senior
11308,11309,,,Thane,126,COUNTERFEITING,25,M,Knife,Other Crime,5,1,28-04-2021 03:00,,,,Young Adult
11309,11310,,,Surat,205,CYBERCRIME,42,F,None,Other Crime,6,0,Ongoing,,,,Adult
11310,11311,,,Ahmedabad,231,CYBERCRIME,57,M,None,Other Crime,2,0,Ongoing,,,,Adult
11311,11312,,,Lucknow,176,KIDNAPPING,35,F,Other,Other Crime,17,1,12-05-2021 10:00,,,,Young Adult
11312,11313,,,Jaipur,579,FRAUD,48,M,Poison,Other Crime,4,1,09-07-2021 01:00,,,,Adult
11313,11314,,,Lucknow,282,FRAUD,79,F,Explosives,Other Crime,18,1,07-07-2021 06:00,,,,Senior
11314,11315,,,Jaipur,282,ILLEGAL POSSESSION,79,F,None,Other Crime,5,0,Ongoing,,,,Senior
11315,11316,,,Delhi,153,BURGLARY,25,M,Knife,Other Crime,2,1,22-06-2021 04:00,,,,Young Adult
11316,11317,,,Jaipur,483,DRUG OFFENSE,32,M,Knife,Other Crime,17,1,17-05-2021 02:00,,,,Young Adult
11317,11318,,,Surat,285,IDENTITY THEFT,46,F,Other,Violent Crime,8,1,02-06-2021 22:00,,,,Adult
11318,11319,,,Patna,394,CYBERCRIME,21,F,Blunt Object,Other Crime,17,1,15-06-2021 23:00,,,,Young Adult
11319,11320,,,Pune,307,PUBLIC INTOXICATION,16,M,None,Other Crime,4,0,Ongoing,,,,Teen
11320,11321,,,Delhi,167,FIREARM OFFENSE,59,F,Explosives,Fire Accident,2,1,23-05-2021 19:00,,,,Adult
11321,11322,,,Mumbai,259,CYBERCRIME,21,F,Knife,Other Crime,11,0,Ongoing,,,,Young Adult
11322,11323,,,Hyderabad,373,PUBLIC INTOXICATION,39,F,Other,Other Crime,12,1,12-05-2021 01:00,,,,Adult
11323,11324,,,Chennai,115,BURGLARY,32,F,Knife,Other Crime,4,0,Ongoing,,,,Young Adult
11324,11325,,,Kanpur,421,IDENTITY THEFT,21,F,Explosives,Violent Crime,16,0,Ongoing,,,,Young Adult
11325,11326,,,Hyderabad,211,ASSAULT,43,F,None,Violent Crime,5,1,06-05-2021 03:00,,,,Adult
11326,11327,,,Pune,238,TRAFFIC VIOLATION,18,F,Poison,Traffic Fatality,3,0,Ongoing,,,,Teen
11327,11328,,,Delhi,239,EXTORTION,70,F,Explosives,Other Crime,14,0,Ongoing,,,,Senior
11328,11329,,,Kolkata,452,ILLEGAL POSSESSION,30,F,Firearm,Other Crime,7,1,01-06-2021 20:00,,,,Young Adult
11329,11330,,,Surat,558,VANDALISM,73,F,Knife,Other Crime,2,0,Ongoing,,,,Senior
11330,11331,,,Visakhapatnam,573,ILLEGAL POSSESSION,64,M,Blunt Object,Other Crime,11,1,15-06-2021 20:00,,,,Senior
11331,11332,,,Chennai,488,FIREARM OFFENSE,48,M,Explosives,Fire Accident,9,0,Ongoing,,,,Adult
11332,11333,,,Pune,123,BURGLARY,57,F,Other,Other Crime,18,0,Ongoing,,,,Adult
11333,11334,,,Delhi,489,COUNTERFEITING,21,F,None,Other Crime,19,0,Ongoing,,,,Young Adult
11334,11335,,,Meerut,575,ILLEGAL POSSESSION,55,M,Explosives,Other Crime,16,0,Ongoing,,,,Adult
11335,11336,,,Bangalore,571,HOMICIDE,62,F,Firearm,Other Crime,8,1,27-02-2023 18:00,,,,Senior
11336,11337,,,Jaipur,203,FRAUD,55,M,None,Other Crime,15,0,Ongoing,,,,Adult
11337,11338,,,Mumbai,401,SEXUAL ASSAULT,61,F,Other,Violent Crime,1,1,02-04-2023 12:00,,,,Senior
11338,11339,,,Bangalore,325,FIREARM OFFENSE,26,F,Blunt Object,Fire Accident,19,0,Ongoing,,,,Young Adult
11339,11340,,,Bhopal,235,FIREARM OFFENSE,24,M,Blunt Object,Fire Accident,15,1,05-05-2021 22:00,,,,Young Adult
11340,11341,,,Chennai,323,DRUG OFFENSE,47,F,Explosives,Other Crime,14,0,Ongoing,,,,Adult
11341,11342,,,Delhi,118,BURGLARY,15,F,Poison,Other Crime,16,0,Ongoing,,,,Teen
11342,11343,,,Hyderabad,412,PUBLIC INTOXICATION,74,F,Poison,Other Crime,1,1,14-05-2021 08:00,,,,Senior
11343,11344,,,Kolkata,502,SEXUAL ASSAULT,13,F,Knife,Violent Crime,5,0,Ongoing,,,,Teen
